run_id,dose_cm2,energy_keV,anneal_temp_C,anneal_time_sec,xj_implant_um,xj_final_um,delta_xj_um,rsh_final_ohm_sq
1,500000000000000.0,10.0,900,5,0.12223,0.122232,2e-06,387.092
2,500000000000000.0,10.0,900,15,0.12223,0.122238,8e-06,326.84
3,500000000000000.0,10.0,900,25,0.12223,0.122244,1.4e-05,298.454
4,500000000000000.0,10.0,900,35,0.12223,0.12225,2e-05,281.271
5,500000000000000.0,10.0,900,45,0.12223,0.122256,2.6e-05,269.21
6,500000000000000.0,10.0,950,5,0.12223,0.122245,1.5e-05,290.749
7,500000000000000.0,10.0,950,15,0.12223,0.122276,4.6e-05,241.031
8,500000000000000.0,10.0,950,25,0.12223,0.122306,7.6e-05,223.178
9,500000000000000.0,10.0,950,35,0.12223,0.122337,0.000107,213.157
10,500000000000000.0,10.0,950,45,0.12223,0.122368,0.000138,206.522
11,500000000000000.0,10.0,1000,5,0.12223,0.122299,6.9e-05,225.6
12,500000000000000.0,10.0,1000,15,0.12223,0.122438,0.000208,197.233
13,500000000000000.0,10.0,1000,25,0.12223,0.122578,0.000348,188.085
14,500000000000000.0,10.0,1000,35,0.12223,0.122717,0.000487,183.177
15,500000000000000.0,10.0,1000,45,0.12223,0.122857,0.000627,180.005
16,500000000000000.0,10.0,1050,5,0.12223,0.12251,0.00028,193.026
17,500000000000000.0,10.0,1050,15,0.12223,0.123073,0.000843,177.825
18,500000000000000.0,10.0,1050,25,0.12223,0.123635,0.001405,173.038
19,500000000000000.0,10.0,1050,35,0.12223,0.124197,0.001967,170.424
20,500000000000000.0,10.0,1050,45,0.12223,0.124759,0.002529,168.674
21,500000000000000.0,10.0,1100,5,0.12223,0.123253,0.001023,177.372
22,500000000000000.0,10.0,1100,15,0.12223,0.1253,0.00307,168.433
23,500000000000000.0,10.0,1100,25,0.12223,0.127352,0.005122,165.356
24,500000000000000.0,10.0,1100,35,0.12223,0.129455,0.007225,163.554
25,500000000000000.0,10.0,1100,45,0.12223,0.132074,0.009844,162.309
26,500000000000000.0,20.0,900,5,0.233396,0.233395,-1e-06,187.031
27,500000000000000.0,20.0,900,15,0.233396,0.233398,2e-06,175.984
28,500000000000000.0,20.0,900,25,0.233396,0.233401,5e-06,171.644
29,500000000000000.0,20.0,900,35,0.233396,0.233404,8e-06,169.763
30,500000000000000.0,20.0,900,45,0.233396,0.233407,1.1e-05,168.785
31,500000000000000.0,20.0,950,5,0.233396,0.233401,5e-06,168.413
32,500000000000000.0,20.0,950,15,0.233396,0.233416,2e-05,163.247
33,500000000000000.0,20.0,950,25,0.233396,0.233431,3.5e-05,162.713
34,500000000000000.0,20.0,950,35,0.233396,0.233446,5e-05,162.354
35,500000000000000.0,20.0,950,45,0.233396,0.233461,6.5e-05,161.765
36,500000000000000.0,20.0,1000,5,0.233396,0.233427,3.1e-05,160.134
37,500000000000000.0,20.0,1000,15,0.233396,0.233495,9.9e-05,158.914
38,500000000000000.0,20.0,1000,25,0.233396,0.233563,0.000167,156.884
39,500000000000000.0,20.0,1000,35,0.233396,0.233631,0.000235,155.233
40,500000000000000.0,20.0,1000,45,0.233396,0.233699,0.000303,153.915
41,500000000000000.0,20.0,1050,5,0.233396,0.23353,0.000134,157.288
42,500000000000000.0,20.0,1050,15,0.233396,0.233804,0.000408,152.552
43,500000000000000.0,20.0,1050,25,0.233396,0.234077,0.000681,150.054
44,500000000000000.0,20.0,1050,35,0.233396,0.234351,0.000955,148.472
45,500000000000000.0,20.0,1050,45,0.233396,0.234624,0.001228,147.342
46,500000000000000.0,20.0,1100,5,0.233396,0.233891,0.000495,152.047
47,500000000000000.0,20.0,1100,15,0.233396,0.234888,0.001492,147.073
48,500000000000000.0,20.0,1100,25,0.233396,0.235883,0.002487,144.984
49,500000000000000.0,20.0,1100,35,0.233396,0.236877,0.003481,143.675
50,500000000000000.0,20.0,1100,45,0.233396,0.237871,0.004475,142.719
51,500000000000000.0,30.0,900,5,0.299877,0.299876,-1e-06,171.672
52,500000000000000.0,30.0,900,15,0.299877,0.299878,1e-06,169.023
53,500000000000000.0,30.0,900,25,0.299877,0.299881,4e-06,167.099
54,500000000000000.0,30.0,900,35,0.299877,0.299883,6e-06,165.949
55,500000000000000.0,30.0,900,45,0.299877,0.299885,8e-06,165.059
56,500000000000000.0,30.0,950,5,0.299877,0.29988,3e-06,165.615
57,500000000000000.0,30.0,950,15,0.299877,0.299892,1.5e-05,161.46
58,500000000000000.0,30.0,950,25,0.299877,0.299903,2.6e-05,158.68
59,500000000000000.0,30.0,950,35,0.299877,0.299914,3.7e-05,156.414
60,500000000000000.0,30.0,950,45,0.299877,0.299926,4.9e-05,154.548
61,500000000000000.0,30.0,1000,5,0.299877,0.2999,2.3e-05,159.218
62,500000000000000.0,30.0,1000,15,0.299877,0.299951,7.4e-05,152.102
63,500000000000000.0,30.0,1000,25,0.299877,0.300002,0.000125,148.395
64,500000000000000.0,30.0,1000,35,0.299877,0.300053,0.000176,146.459
65,500000000000000.0,30.0,1000,45,0.299877,0.300104,0.000227,145.528
66,500000000000000.0,30.0,1050,5,0.299877,0.299977,0.0001,150.912
67,500000000000000.0,30.0,1050,15,0.299877,0.300183,0.000306,144.803
68,500000000000000.0,30.0,1050,25,0.299877,0.300389,0.000512,144.544
69,500000000000000.0,30.0,1050,35,0.299877,0.300595,0.000718,144.123
70,500000000000000.0,30.0,1050,45,0.299877,0.300801,0.000924,143.668
71,500000000000000.0,30.0,1100,5,0.299877,0.300249,0.000372,144.477
72,500000000000000.0,30.0,1100,15,0.299877,0.300999,0.001122,143.436
73,500000000000000.0,30.0,1100,25,0.299877,0.301749,0.001872,142.31
74,500000000000000.0,30.0,1100,35,0.299877,0.302499,0.002622,141.436
75,500000000000000.0,30.0,1100,45,0.299877,0.303248,0.003371,140.736
76,500000000000000.0,40.0,900,5,0.362647,0.362645,-2e-06,161.078
77,500000000000000.0,40.0,900,15,0.362647,0.362647,0.0,160.218
78,500000000000000.0,40.0,900,25,0.362647,0.362649,2e-06,159.471
79,500000000000000.0,40.0,900,35,0.362647,0.362651,4e-06,158.814
80,500000000000000.0,40.0,900,45,0.362647,0.362652,5e-06,158.237
81,500000000000000.0,40.0,950,5,0.362647,0.362649,2e-06,158.102
82,500000000000000.0,40.0,950,15,0.362647,0.362658,1.1e-05,155.878
83,500000000000000.0,40.0,950,25,0.362647,0.362667,2e-05,154.474
84,500000000000000.0,40.0,950,35,0.362647,0.362676,2.9e-05,153.329
85,500000000000000.0,40.0,950,45,0.362647,0.362685,3.8e-05,152.348
86,500000000000000.0,40.0,1000,5,0.362647,0.362664,1.7e-05,154.441
87,500000000000000.0,40.0,1000,15,0.362647,0.362705,5.8e-05,150.806
88,500000000000000.0,40.0,1000,25,0.362647,0.362746,9.9e-05,148.396
89,500000000000000.0,40.0,1000,35,0.362647,0.362786,0.000139,146.548
90,500000000000000.0,40.0,1000,45,0.362647,0.362827,0.00018,145.107
91,500000000000000.0,40.0,1050,5,0.362647,0.362725,7.8e-05,150.027
92,500000000000000.0,40.0,1050,15,0.362647,0.36289,0.000243,144.389
93,500000000000000.0,40.0,1050,25,0.362647,0.363054,0.000407,141.81
94,500000000000000.0,40.0,1050,35,0.362647,0.363218,0.000571,140.619
95,500000000000000.0,40.0,1050,45,0.362647,0.363382,0.000735,140.15
96,500000000000000.0,40.0,1100,5,0.362647,0.362942,0.000295,144.292
97,500000000000000.0,40.0,1100,15,0.362647,0.36354,0.000893,139.973
98,500000000000000.0,40.0,1100,25,0.362647,0.364139,0.001492,139.692
99,500000000000000.0,40.0,1100,35,0.362647,0.364737,0.00209,139.291
