model,group_cv_r2,group_cv_mae,group_cv_rmse,cv_r2,cv_mae,cv_rmse,test_r2,test_mae,test_rmse,test_mape_pct,fit_seconds
Gaussian Process (Matern 5/2),0.9984561267455184,0.9716899638592179,2.0545880811401473,0.9998819260807021,0.2280931433336505,0.5681930695604825,0.9999626732506534,0.13222559940242876,0.2914708275399599,0.12879838626146228,224.485
MLP (64-64-32),0.9947725687657122,1.3796148133518609,3.7806206903658777,0.9976608407928307,0.6914414074093649,2.529000023428302,0.9998711117889176,0.3443455143237,0.5416161512642176,0.429469711764887,182.838
Polynomial (deg3) + Ridge [log10 target],0.9841575232105821,3.84186901820491,6.581584815159592,0.9878378077324593,3.4274124168762494,5.766667018590909,0.9927873011164353,2.8237058780176345,4.051668543184477,3.26800129309896,0.187
Gradient Boosting [log10 target],0.9816516969693764,3.8227940452196547,7.08299433736968,0.9971446745667594,1.7364258476551442,2.794130908036147,0.9957218860027766,1.7595704582462697,3.1204065814830146,1.9008985610411941,4.013
Gradient Boosting,0.9762866409365755,4.1187528723287565,8.052217204106217,0.9961375248876889,1.879641368931764,3.2497637472096272,0.9984283291752175,1.388205707784944,1.89132343775685,1.7973426395697212,4.166
Extra Trees,0.9737148590821307,4.026220247500029,8.477622957072361,0.9903686507737851,2.1268837640625193,5.131714749123959,0.9945226397370494,1.7152052337500103,3.530780035024287,1.7738505246868148,6.243
Extra Trees [log10 target],0.9707717973306561,4.021203217059283,8.939639331439938,0.9895229900192913,2.185466488369195,5.3522651650574,0.9936459038554273,1.7414300246157035,3.8028736804753875,1.7702181939880708,6.066
Hist Gradient Boosting,0.9702441785156499,4.3095313343789465,9.01996629739053,0.9936752812394206,1.8214723438205445,4.15852725181883,0.9991506175792118,0.9812861907235615,1.3903900237669808,1.2437323319234732,12.414
Hist Gradient Boosting [log10 target],0.9689187529878499,4.640477007455771,9.218667688675191,0.997029834207871,1.5304242882252668,2.8497665763749653,0.9985743016074016,1.0656605484988833,1.8013530481932185,1.1699624014431118,12.607
Polynomial (deg3) + Ridge,0.9652887765749899,6.191620046363385,9.7421296074987,0.9743928347703344,5.567833210851234,8.367576555352153,0.9825443738690192,4.803537509850267,6.303078624744747,6.926551370895882,0.157
Polynomial (deg2) + Ridge [log10 target],0.9486212338625084,6.562225913355362,11.852522209421974,0.9597937020252829,5.838571588330171,10.484940880293925,0.9754271665474986,4.951203364807841,7.478467788215557,5.5757247934833565,0.148
Random Forest,0.9473343345531111,6.69463458406251,12.000041018336555,0.9867719580766626,2.755196877812512,6.014045699198135,0.9930447853337688,2.0771405437500032,3.9786916100617575,2.368773783409063,8.464
Random Forest [log10 target],0.9427338583744737,6.933176993263151,12.513186113468866,0.9865539138076779,2.7227987262594655,6.063409334169088,0.9929044224438555,2.0173242107521987,4.018637980410236,2.275087498029771,8.389
Polynomial (deg2) + Ridge,0.9277051778046121,8.877604749318284,14.059586224211843,0.941019835975033,8.088141393548854,12.699070392492324,0.9602732332864087,7.387822088585701,9.508819835209888,10.672433498778947,0.137
Linear Regression [log10 target],0.8635967948678329,11.834352345251173,19.312176867222835,0.8753585122479985,11.212974025232834,18.460788836396272,0.9197029611843409,8.899532851034213,13.518695117451456,9.752763092254273,0.09
Linear Regression,0.8241592918125383,15.099917694118158,21.92697162698343,0.8380393851884526,14.434547372533961,21.04377505944132,0.8982204951505993,11.672320373181629,15.220018336814716,17.775189976138996,0.071
